,LOAN IDENTIFIER,ORIGINATION CHANNEL,SELLER NAME,ORIGINAL INTEREST RATE,ORIGINAL UPB,ORIGINAL LOAN TERM,ORIGINATION DATE,FIRST PAYMENT DATE,ORIGINAL LOAN-TO-VALUE (LTV),ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),NUMBER OF BORROWERS,ORIGINAL DEBT TO INCOME RATIO,BORROWER CREDIT SCORE AT ORIGINATION,FIRST TIME HOME BUYER INDICATOR,LOAN PURPOSE,PROPERTY TYPE,NUMBER OF UNITS,OCCUPANCY TYPE,PROPERTY STATE,ZIP CODE SHORT,PRIMARY MORTGAGE INSURANCE PERCENT,PRODUCT TYPE,CO-BORROWER CREDIT SCORE AT ORIGINATION,MORTGAGE INSURANCE TYPE,RELOCATION MORTGAGE INDICATOR,LOAN_COUNT,VINTAGE_YEAR,VINTAGE_MONTH,LTV_BUCKET,UPB_BUCKET,FICO_BUCKET,TERM_BUCKET,INT_RT_BUCKET
88,100215730755,R,"WELLS FARGO BANK, N.A.",5.125,209000,360,04/2017,06/2017,97,97,1,44,692.0,Y,P,SF,1,P,AL,352,25.0,FRM,,2.0,N,1,2017,4,90,200000,650.0,360,5.125
89,100220312431,R,OTHER,4.5,238000,360,05/2017,07/2017,75,75,2,23,778.0,N,C,PU,1,I,OR,971,,FRM,780.0,,N,1,2017,5,70,200000,750.0,360,4.5
90,100222871638,B,QUICKEN LOANS INC.,4.99,518000,360,05/2017,07/2017,95,95,2,38,782.0,Y,P,CO,1,P,CA,926,30.0,FRM,787.0,2.0,N,1,2017,5,90,500000,750.0,360,4.875
91,100223579060,C,"CITIMORTGAGE, INC.",5.125,45000,360,04/2017,06/2017,38,38,1,34,753.0,N,C,CO,1,P,IL,612,,FRM,,,N,1,2017,4,30,0,750.0,360,5.125
92,100227968506,R,OTHER,4.75,79000,360,05/2017,07/2017,80,80,1,36,638.0,Y,P,SF,1,P,MO,631,,FRM,,,N,1,2017,5,80,50000,600.0,360,4.75
93,100232682001,C,FRANKLIN AMERICAN MORTGAGE COMPANY,4.25,151000,360,03/2017,05/2017,97,97,1,28,774.0,Y,P,PU,1,P,GA,304,35.0,FRM,,1.0,N,1,2017,3,90,150000,750.0,360,4.25
94,100233085574,C,"WELLS FARGO BANK, N.A.",4.25,230000,360,02/2017,04/2017,80,80,1,18,808.0,Y,P,SF,1,P,MN,553,,FRM,,,N,1,2017,2,80,200000,800.0,360,4.25
95,100236072887,R,OTHER,4.0,228000,360,02/2017,04/2017,95,95,2,34,768.0,N,P,SF,1,P,FL,339,30.0,FRM,787.0,1.0,N,1,2017,2,90,200000,750.0,360,4.0
96,100236080167,C,"WELLS FARGO BANK, N.A.",4.25,375000,360,04/2017,06/2017,41,41,2,27,728.0,N,P,SF,1,P,FL,330,,FRM,720.0,,N,1,2017,4,40,350000,700.0,360,4.25
97,100238804368,R,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4.49,189000,360,05/2017,07/2017,85,85,1,36,630.0,N,P,SF,1,P,TX,786,12.0,FRM,,1.0,N,1,2017,5,80,150000,600.0,360,4.375
